License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location,License Group,Area,Major City
1267485,CIDER PRODUCER,304,CD,New York City,1,NEW YORK,T EDWARD WINES LTD,T EDWARD WINES,66 W BROADWAY,SUITE 406,NEW YORK,NY,10007,827590,5/30/2013,5/1/2014,4/30/2015,40.71466608,-74.00989506,"(40.71466608, -74.00989506)",Cider,NYC,NYC
1263717,CIDER PRODUCER,304,CD,New York City,1,NEW YORK,CLIFFTON HOLDINGS LLC,CLIFFTON DRY,1178 BROADWAY SUITE 321,,NEW YORK,NY,10001,860204,7/19/2012,7/1/2014,6/30/2015,40.74530419,-73.98872724,"(40.74530419, -73.98872724)",Cider,NYC,NYC
1261306,CIDER PRODUCER,304,CD,New York City,1,WESTCHESTER,DOUGLAS POLANER SELECTIONS LLC,POLANER SELECTIONS,19 N MOGER AVE,,MOUNT KISCO,NY,10549,866926,8/9/2012,5/1/2015,4/30/2016,41.20909249,-73.72767967,"(41.20909249, -73.72767967)",Cider,NYC,NYC
3151945,CIDER PRODUCER,304,CD,Buffalo,3,ONTARIO,L & D ACQUISITION LLC,L & D ACQUISITION,1 LAKE NIAGARA LANE,,NAPLES,NY,14512,865545,2/12/2013,2/2/2015,1/31/2016,42.62153687,-77.39838515,"(42.62153687, -77.39838515)",Cider,Western,All Others
2194358,CIDER PRODUCER,304,CD,Albany,2,DELAWARE,GRAVITY CIDERS INC,GRAVITY CIDERS,44 WEST ST,SUITE 8,WALTON,NY,13856,863462,2/19/2014,2/1/2015,1/31/2016,42.17313544,-75.13794851,"(42.17313544, -75.13794851)",Cider,Upstate,All Others
3150361,CIDER PRODUCER,304,CD,Buffalo,3,MONROE,HIGH FALLS OPERATING CO LLC,NORTH AMERICAN BREWERIES,445 ST PAUL ST,,ROCHESTER,NY,14605,829202,6/6/2012,6/1/2014,5/31/2015,43.16493105,-77.61437097,"(43.16493105, -77.61437097)",Cider,Western,Rochester
1245089,CIDER PRODUCER,304,CD,New York City,1,NEW YORK,ORIGINAL SIN CORPORATION,ORIGINAL SIN CORPORATION,817 BROADWAY  10TH FLOOR,,NEW YORK,NY,10003,828494,6/14/2011,6/1/2014,5/31/2015,40.73310449,-73.99120674,"(40.73310449, -73.99120674)",Cider,NYC,NYC
1279829,CIDER PRODUCER,304,CD,New York City,1,KINGS,ROWAN IMPORTS LLC,ROWAN IMPORTS,87 RICHARDSON ST,4TH FL #15,BROOKLYN,NY,11211,853627,1/8/2015,1/8/2015,4/30/2015,40.71869,-73.948173,,Cider,NYC,NYC
2177313,CIDER PRODUCER,304,CD,Albany,2,ONONDAGA,ANHEUSER BUSCH LLC,ANHEUSER BUSCH,2885 BELGIUM RD,,BALDWINSVILLE,NY,13027,862569,12/13/2011,12/1/2014,11/30/2015,43.16538732,-76.31037514,"(43.16538732, -76.31037514)",Cider,Upstate,Syracuse
3003068,CIDER PRODUCER,304,CD,Buffalo,3,ERIE,MAYER BROS APPLE PRODUCTS INC,MAYER BROS HARD CIDER,1540 SENECA CREEK ROAD,,WEST SENECA,NY,14224,861300,,10/1/2014,9/30/2015,42.85509113,-78.69876232,"(42.85509113, -78.69876232)",Cider,Western,Buffalo
3150559,CIDER PRODUCER,304,CD,Buffalo,3,ERIE,MCKENZIES BEVERAGES INC,MCKENZIES BEVERAGES,3300 TRANSIT RD,SUITE 6W,WEST SENECA,NY,14224,860697,9/8/2011,9/1/2014,8/31/2015,42.85706827,-78.69700449,"(42.85706827, -78.69700449)",Cider,Western,Buffalo
3012938,CIDER PRODUCER,304,CD,Buffalo,3,STEUBEN,DOYLE ACQUISITION CORPORATION,PLEASANT VALLEY WINE CO,8260 PLEASANT VALLEY RD,,HAMMONDSPORT,NY,14840,866495,,5/1/2015,4/30/2016,42.40199963,-77.25173009,"(42.40199963, -77.25173009)",Cider,Western,All Others
3154179,CIDER PRODUCER,304,CD,Buffalo,3,CHAUTAUQUA,SOUTHERN TIER BREWING COMPANY LLC,SOUTHERN TIER BREWING COMPANY,2072 STONEMAN CIRCLE,,LAKEWOOD,NY,14750,847799,11/18/2013,12/10/2014,10/31/2015,42.08684688,-79.35248348,"(42.08684688, -79.35248348)",Cider,Western,All Others
2123626,CIDER PRODUCER,304,CD,Albany,2,CLINTON,EVERETT ORCHARDS LTD,EVERETTS,1945 MILITARY TURNPIKE,TOM MILLER RD AND ROUTE 374,PLATTSBURGH,NY,12901,860285,8/16/2004,8/1/2014,7/31/2015,44.71498015,-73.53624518,"(44.71498015, -73.53624518)",Cider,Upstate,All Others
2126604,CIDER PRODUCER,304,CD,Albany,2,DUTCHESS,DOUGLAS Z TAYLOR,ANNANDALE CIDERY,8 DAVIS WAY,TOWN OF RED HOOK,ANNANDALE ON HUDSON,NY,12504,861532,10/25/2005,10/1/2014,9/30/2015,42.01086746,-73.90935079,"(42.01086746, -73.90935079)",Cider,Upstate,All Others
2141779,"DISTILLER ""A-1""",206,DA,Albany,2,ESSEX,LAKE PLACID SPIRITS LLC,LAKE PLACID SPIRITS,5740 CASCADE ROAD,1.1 MI FROM US POST OFFICE,LAKE PLACID,NY,12946,828149,5/9/2008,5/1/2014,4/30/2017,44.26737964,-73.97190572,"(44.26737964, -73.97190572)",Distiller,Upstate,All Others
2126574,"DISTILLER ""A-1""",206,DA,Albany,2,ULSTER,TUTHILLTOWN SPIRITS LLC,TUTHILLTOWN SPIRITS,14 GRISTMILL LANE   PO BOX 320,,GARDINER,NY,12525,860427,8/16/2005,8/1/2014,7/31/2017,41.68762751,-74.17506834,"(41.68762751, -74.17506834)",Distiller,Upstate,All Others
1275764,"DISTILLER ""A-1""",206,DA,New York City,1,WESTCHESTER,THE FOOD CYCLE DISTILLERY LLC,NEVERSINK SPIRITS,33 NEW BROAD ST,,PORT CHESTER,NY,10573,856285,12/31/2014,12/31/2014,11/30/2017,41.000332,-73.66567783,"(41.000332, -73.66567783)",Distiller,NYC,NYC
3155959,"DISTILLER ""A-1""",206,DA,Buffalo,3,STEUBEN,TRANQUILITY FARMS LLC,WHISKEY CREEK DISTILLING,1351 GRIDLEY RD,,CORNING,NY,14830,847900,4/15/2015,4/15/2015,3/31/2018,42.067285,-77.010311,,Distiller,Western,All Others
3131071,"DISTILLER ""A-1""",206,DA,Buffalo,3,TOMPKINS,SIX MILE CREEK VINEYARD LLC,SIX MILE CREEK VINEYARD,1551 SLATERVILLE ROAD,,ITHACA,NY,14850,840880,9/11/2006,9/13/2012,8/31/2015,42.41759456,-76.45405848,"(42.41759456, -76.45405848)",Distiller,Western,All Others
1203827,"DISTILLER ""A-1""",206,DA,New York City,1,SUFFOLK,LONG ISLAND SPIRITS INC,LONG ISLAND SPIRITS INC,2182 SOUND AVE,EDWARDS  AVE & TOOMEY AVE,BAITING HOLLOW,NY,11933,858816,3/31/2008,3/1/2014,2/28/2017,40.95570562,-72.75261872,"(40.95570562, -72.75261872)",Distiller,NYC,All Others
2606912,"DISTILLER ""A-1""",206,DA,Albany,2,DELAWARE,CHERYL AMBER LINS,DELAWARE PHOENIX DISTILLERY,144 DELAWARE ST,TOWNSEND & GARDINER,WALTON,NY,13856,862675,2/4/2009,2/1/2015,1/31/2018,42.16830925,-75.13024277,"(42.16830925, -75.13024277)",Distiller,Upstate,All Others
2198202,"DISTILLER ""A-1""",206,DA,Albany,2,SARATOGA,YANKEE DISTILLERS LLC,YANKEE DISTILLERS,5 FAIRCHILD SQAURE,,CLIFTON PARK,NY,12065,856602,4/16/2015,4/16/2015,3/31/2018,42.9014898,-73.7913417,,Distiller,Upstate,All Others
2197373,"DISTILLER ""A-1""",206,DA,Albany,2,SCHOHARIE,KYMAR FARM WINERY AND DISTILLERY LLC,KYMAR FARM DISTILLERY,102 BINDERY LN,,CHARLOTTEVILLE,NY,12036,855798,10/7/2014,10/7/2014,9/30/2017,42.5464602,-74.6650318,,Distiller,Upstate,All Others
2195493,"DISTILLER ""A-1""",206,DA,Albany,2,DUTCHESS,DENNINGS POINT DISTILLERY LLC,DENNINGS POINT DISTILLERY,10 N CHESTNUT ST,,BEACON,NY,12508,817379,7/15/2014,7/15/2014,6/30/2017,41.50521,-73.96972,"(41.50521, -73.96972)",Distiller,Upstate,All Others
2195445,"DISTILLER ""A-1""",206,DA,Albany,2,DUTCHESS,MILLBROOK DISTILLERY LLC,MILLBROOK DISTILLERY,215 BOWEN RD,,STANFORDVILLE,NY,12581,817016,4/23/2014,4/23/2014,3/31/2017,41.8811451,-73.7275999,"(0.0, 0.0)",Distiller,Upstate,All Others
1246881,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,CACAO PRIETO LLC,CACAO PRIETO,216 218 CONOVER ST,,BROOKLYN,NY,11231,862181,10/27/2011,10/24/2014,9/30/2017,40.67722296,-74.01534809,"(40.67722296, -74.01534809)",Distiller,NYC,NYC
1239879,"DISTILLER ""A-1""",206,DA,New York City,1,WESTCHESTER,STILL THE ONE DISTILLERY LLC,STILL THE ONE DISTILLERY,1 MARTIN PL,,PORT CHESTER,NY,10573,847086,6/28/2010,6/1/2013,5/31/2016,40.9983209,-73.66066524,"(40.9983209, -73.66066524)",Distiller,NYC,NYC
3152823,"DISTILLER ""A-1""",206,DA,Buffalo,3,MONROE,HOMETOWN BREW LLC,HOMETOWN BREW,850 ST PAUL ST,STE 21,ROCHESTER,NY,14605,815879,12/18/2012,12/18/2012,11/30/2015,43.17130042,-77.62119387,"(43.17130042, -77.62119387)",Distiller,Western,Rochester
3153383,"DISTILLER ""A-1""",206,DA,Buffalo,3,CHAUTAUQUA,ROBERT MAZZA INC,FIVE & 20 SPIRITS,8398 W RTE 20,,WESTFIELD,NY,14787,816338,7/29/2013,7/29/2013,6/30/2016,42.30823259,-79.60389676,"(42.30823259, -79.60389676)",Distiller,Western,All Others
1255727,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,GREEN FARMS II LLC,GREENHOOK GINSMITHS,208 DUPONT STREET,MCGUINNESS BLVD & PROVOST ST,BROOKLYN,NY,11222,861528,10/27/2011,10/1/2014,9/30/2017,40.73614003,-73.95179085,"(40.73614003, -73.95179085)",Distiller,NYC,NYC
1256382,"DISTILLER ""A-1""",206,DA,New York City,1,WESTCHESTER,BARON NAHMIAS INC,NAHMIAS ET FILS,201 SAW MILL RIVER RD BLDG C,LAKE AVE & HARTY ST,YONKERS,NY,10701,861781,11/14/2011,11/1/2014,10/31/2017,40.9451922,-73.88012116,"(40.9451922, -73.88012116)",Distiller,NYC,NYC
1257588,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,VAN BRUNT STILLHOUSE LLC,VAN BRUNT STILLHOUSE,6 BAY ST 1ST FL,OTSEGO & SIGOURNEY STREETS,BROOKLYN,NY,11231,863338,1/31/2012,1/21/2015,12/31/2017,40.67373651,-74.01005811,"(40.67373651, -74.01005811)",Distiller,NYC,NYC
1259583,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,INDUSTRY CITY DISTILLERY INC,INDUSTRY CITY DISTILLERY,33 35TH ST,BLDG 5 6TH FL,BROOKLYN,NY,11232,863339,2/3/2012,2/1/2015,1/31/2018,40.6571926,-74.00766451,"(40.6571926, -74.00766451)",Distiller,NYC,NYC
1268940,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,"NOBLE EXPERIMENT NYC LLC, THE",THE NOBLE EXPERIMENT NYC,23 MEADOW ST,,BROOKLYN,NY,11206,832383,3/8/2013,3/8/2013,2/28/2016,40.71070911,-73.93632249,"(40.71070911, -73.93632249)",Distiller,NYC,NYC
2190920,"DISTILLER ""A-1""",206,DA,Albany,2,ULSTER,ALLIED WINE CORP,ARMON STROPKOV SPIRITS SILVER CLOUD SPIRITS,70 BERME RD,,ELLENVILLE,NY,12425,816218,6/6/2013,6/6/2013,5/31/2016,41.71618484,-74.38212933,"(41.71618484, -74.38212933)",Distiller,Upstate,All Others
2190166,"DISTILLER ""A-1""",206,DA,Albany,2,WARREN,LAKE GEORGE DISTILLING COMPANY LLC,LAKE GEORGE DISTILLING COMPANY,11262 STATE RTE 149,,FORT ANN,NY,12827,816182,5/16/2013,5/16/2013,4/30/2016,43.4134858,-73.50302125,"(43.4134858, -73.50302125)",Distiller,Upstate,All Others
3152853,"DISTILLER ""A-1""",206,DA,Buffalo,3,CHAUTAUQUA,SOUTHERN TIER DISTILLING LLC,SOUTHERN TIER DISTILLING COMPANY,2051 A STONEMAN CIRCLE,,LAKEWOOD,NY,14750,815946,1/23/2013,1/23/2013,12/31/2015,42.08723516,-79.35331231,"(42.08723516, -79.35331231)",Distiller,Western,All Others
1272074,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,STANDARD SPIRIT CORPORATION,STANDARD SPIRIT,630 FLUSHING AVE,STE 650,BROOKLYN,NY,11206,833469,9/25/2013,9/25/2013,8/31/2016,40.69999322,-73.94828041,"(40.69999322, -73.94828041)",Distiller,NYC,NYC
1236028,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,NEW YORK DISTILLING COMPANY  LLC,NEW YORK DISTILLING,405 LEONARD STREET,RICHARDSON & BAYARD STREETS,BROOKLYN,NY,11222,860000,8/9/2011,8/1/2014,7/31/2017,40.71855442,-73.94851072,"(40.71855442, -73.94851072)",Distiller,NYC,NYC
2189530,"DISTILLER ""A-1""",206,DA,Albany,2,ORANGE,WARWICK VALLEY WINE CO INC,BLACK DIRT DISTILLING CO,385 GLENWOOD RD,,PINE ISLAND,NY,10969,816758,1/6/2014,1/6/2014,12/31/2016,41.28383753,-74.47624891,"(41.28383753, -74.47624891)",Distiller,NYC,All Others
2188446,"DISTILLER ""A-1""",206,DA,Albany,2,SULLIVAN,PROHIBITION DISTILLERY LLC,PROHIBITION DISTILLERY,10 UNION ST,,ROSCOE,NY,12776,816053,3/13/2013,3/13/2013,2/28/2016,41.93326914,-74.91368435,"(41.93326914, -74.91368435)",Distiller,Upstate,All Others
2188087,"DISTILLER ""A-1""",206,DA,Albany,2,MONTGOMERY,JONATHAN M ROSEMYER,ERIE CANAL DISTRILLERS,55 WILLETT ST,,FORT PLAIN,NY,13339,816298,7/9/2013,7/9/2013,6/30/2016,42.93486857,-74.62371797,"(42.93486857, -74.62371797)",Distiller,Upstate,All Others
2186745,"DISTILLER ""A-1""",206,DA,Albany,2,ALBANY,"ALBANY DISTILLING COMPANY INC, THE",THE ALBANY DISTILLING COMPANY INC,78 MONTGOMERY ST,,ALBANY,NY,12207,815772,11/9/2012,11/9/2012,10/31/2015,42.65435984,-73.74728906,"(42.65435984, -73.74728906)",Distiller,Upstate,Albany
2160677,"DISTILLER ""A-1""",206,DA,Albany,2,SULLIVAN,CATSKILL DISTILLING COMPANY LTD,CATSKILL DISTILLING COMPANY,2037 ROUTE 17B,,BETHEL,NY,12720,850954,8/26/2010,7/29/2013,7/31/2016,41.68459888,-74.87443765,"(41.68459888, -74.87443765)",Distiller,Upstate,All Others
3130707,"DISTILLER ""B""",202,DB,Buffalo,3,WAYNE,MOTTS LLP,MOTTS,4363 ROUTE 104,,WILLIAMSON,NY,14589,852265,10/12/2007,10/1/2013,9/30/2016,43.23495951,-77.17369428,"(43.23495951, -77.17369428)",Distiller,Western,All Others
3008116,"DISTILLER ""B""",202,DB,Buffalo,3,GENESEE,O AT KA MILK PRODUCTS,COOPERATIVE INC,CEDAR & ELLICOTT STS,,BATAVIA,NY,14020,838409,,8/1/2012,7/31/2015,42.98147297,-78.16320504,"(42.98147297, -78.16320504)",Distiller,Western,All Others
3155421,"DISTILLER ""B""",202,DB,Buffalo,3,ONTARIO,CONSTELLATION BRANDS INC,CONSTELLATION BRANDS,116 BUFFALO ST,,CANANDAIGUA,NY,14424,835298,10/24/2014,10/24/2014,9/30/2017,42.897229,-77.294818,,Distiller,Western,All Others
1259711,"DISTILLER ""B-1""",205,DB,New York City,1,KINGS,JACKFROMBROOKLYN INCORPORATED,JACKFROMBROOKLYN INCORPORATED,177 DWIGHT ST,GRD FL - VAN DYKE & COFFEE STS,BROOKLYN,NY,11231,865527,2/24/2012,2/1/2015,1/31/2018,40.67370516,-74.01178401,"(40.67370516, -74.01178401)",Distiller,NYC,NYC
3149935,"DISTILLER ""B-1""",205,DB,Buffalo,3,MONROE,DUNDEE FOODS LLC,LIDESTRI SPIRITS,1050 LEE RD,,ROCHESTER,NY,14606,852551,9/26/2011,10/9/2013,9/30/2016,43.18740375,-77.68034844,"(43.18740375, -77.68034844)",Distiller,Western,Rochester
2192790,"DISTILLER ""B-1""",205,DB,Albany,2,PUTNAM,KAS SPIRITS LLC,KAS SPIRITS,46 MILLER RD,UNIT B,MAHOPAC,NY,10541,816804,1/29/2014,1/29/2014,12/31/2016,41.34766579,-73.75273205,"(41.34766579, -73.75273205)",Distiller,Upstate,All Others
1245150,"DISTILLER ""B-1""",205,DB,New York City,1,KINGS,BROOKLYN SPIRITS LLC,BROOKLYN SPIRITS,299 PARK AVE STE HAGR,HALL STREET & RYERSON STREET,BROOKLYN,NY,11205,851038,9/9/2010,9/1/2013,8/31/2016,40.69601134,-73.96628993,"(40.69601134, -73.96628993)",Distiller,NYC,NYC
9006902,"DISTILLER ""B-1""",205,DB,Albany,2,ORANGE,SHLOIMES SLIVOVITZ INC,CASTLE SPIRITS,18 QUICKWAY ROAD,UNIT 201,MONROE,NY,10950,865935,,4/1/2015,3/31/2018,41.33588604,-74.1707898,"(41.33588604, -74.1707898)",Distiller,NYC,All Others
1276971,"DISTILLER ""B-1""",205,DB,New York City,1,KINGS,PROOF OF CONCEPT LLC,PROOF OF CONCEPT,67 35TH ST,C403 C405,BROOKLYN,NY,11232,834922,7/18/2014,7/18/2014,11/30/2015,40.65694,-74.00713,"(40.65694, -74.00713)",Distiller,NYC,NYC
2195318,"DISTILLER ""B-1""",205,DB,Albany,2,SARATOGA,SARATOGA COURAGE LLC,SARATOGA COURAGE,324 WILTON RD,,GREENFIELD CENTER,NY,12833,817000,4/11/2014,4/11/2014,3/31/2017,43.14238,-73.80372,"(43.14238, -73.80372)",Distiller,Upstate,All Others
2188450,"DISTILLER ""B-1""",205,DB,Albany,2,SULLIVAN,PROHIBITION DISTILLERY LLC,PROHIBITION DISTILLERY,10 UNION ST,,ROSCOE,NY,12776,816051,3/13/2013,3/13/2013,2/28/2016,41.93326914,-74.91368435,"(41.93326914, -74.91368435)",Distiller,Upstate,All Others
3151658,"DISTILLER ""B-1""",205,DB,Buffalo,3,GENESEE,CREAMY CREATION LLC,CREAMY CREATION,24 MASSE PL,,BATAVIA,NY,14020,866015,8/14/2012,2/20/2015,1/31/2017,42.99599706,-78.17431106,"(42.99599706, -78.17431106)",Distiller,Western,All Others
2192021,"DISTILLER ""B-1""",205,DB,Albany,2,OTSEGO,STILL KICKING LLC,COOPERSTOWN DISTILLERY,11 RAILROAD AVE,,COOPERSTOWN,NY,13326,816555,10/8/2013,10/8/2013,9/30/2016,42.6998534,-74.93205212,"(42.6998534, -74.93205212)",Distiller,Upstate,All Others
3012667,"DISTILLER ""C""",204,DC,Buffalo,3,SENECA,KNAPP FARMS INC,KNAPP VINEYARDS,2770 COUNTY ROAD 128,,ROMULUS,NY,14541,839036,8/22/1994,8/1/2012,7/31/2015,42.76579757,-76.78321102,"(42.76579757, -76.78321102)",Distiller,Western,All Others
2008118,"DISTILLER ""C""",204,DC,Albany,2,ORANGE,SHLOIMES SLIVOVITZ INC,CASTLE SPIRITS,18 QUICKWAY ROAD,,MONROE,NY,10950,851325,,10/1/2013,9/30/2016,41.33585167,-74.17073307,"(41.33585167, -74.17073307)",Distiller,NYC,All Others
2118740,"DISTILLER ""C""",204,DC,Albany,2,ORANGE,DEMAREST HILL WINERY INC,DEMAREST HILL WINERY,81 PINE ISLAND TPKE,MELODY LN & FOLEY RD,WARWICK,NY,10990,839196,8/7/2003,8/1/2012,7/31/2015,41.26686155,-74.3715121,"(41.26686155, -74.3715121)",Distiller,NYC,All Others
3130110,"DISTILLER ""C""",204,DC,Buffalo,3,YATES,ROCK STREAM VINEYARDS LLC,ROCK STREAM VINEYARDS,162 FIR TREE POINT ROAD,,ROCK STREAM,NY,14878,838307,6/22/2006,6/12/2012,5/31/2015,42.47140503,-76.91916722,"(42.47140503, -76.91916722)",Distiller,Western,All Others
3012668,"DISTILLER ""C""",204,DC,Buffalo,3,SENECA,SWEDISH HILL VINEYARD INC,SWEDISH HILL VINEYARD,4565 ROUTE 414,,ROMULUS,NY,14541,845408,,4/1/2013,3/31/2016,42.21985421,-76.97419268,"(42.21985421, -76.97419268)",Distiller,Western,All Others
2195664,FARM BREWER,106,FD,Albany,2,ORANGE,HEIRLOOM FARMS LLC,WESTTOWN BREW WORKS,236 SCHEFFLERS RD,,WESTTOWN,NY,10998,855737,9/22/2014,9/22/2014,8/31/2015,41.31371,-74.53493,"(41.31371, -74.53493)",Brewer,NYC,All Others
2189559,FARM BREWER,106,FD,Albany,2,GREENE,DONNA J TAORMINA,HONEY HOLLOW BREWERY,376 E HONEY HOLLOW RD,,EARLTON,NY,12058,860892,9/11/2013,9/1/2014,8/31/2015,42.40255991,-73.92527999,"(42.40255991, -73.92527999)",Brewer,Upstate,All Others
3155344,FARM BREWER,106,FD,Buffalo,3,MONROE,SWIFTWATER BREWING COMPANY LLC,SWIFTWATER BREWING COMPANY,378 MT HOPE AVE,,ROCHESTER,NY,14620,847816,12/31/2014,12/31/2014,11/30/2015,43.14241,-77.611853,,Brewer,Western,Rochester
1274946,FARM BREWER,106,FD,New York City,1,SUFFOLK,MOUSTACHE BREWING CO LLC,MOUSTACHE BREWING CO,400 HALLET AVE,STE A,RIVERHEAD,NY,11901,862811,1/28/2014,1/1/2015,12/31/2015,40.92047274,-72.66814073,"(40.92047274, -72.66814073)",Brewer,NYC,All Others
1278496,FARM BREWER,106,FD,New York City,1,NASSAU,OYSTER BAY BREWING COMPANY INC,OYSTER BAY BREWING COMPANY,76 SOUTH ST,UNIT 3,OYSTER BAY,NY,11771,817487,8/12/2014,8/12/2014,7/31/2015,40.8731704,-73.5304646,,Brewer,NYC,All Others
1274971,FARM BREWER,106,FD,New York City,1,NASSAU,BARRIER BREWING COMPANY LLC,BARRIER BREWING COMPANY,3001 NEW ST UNIT A2,,OCEANSIDE,NY,11572,862523,12/18/2013,12/1/2014,11/30/2015,40.63907939,-73.65604898,"(40.63907939, -73.65604898)",Brewer,NYC,All Others
2189396,FARM BREWER,106,FD,Albany,2,RENSSELAER,BLY HOLLOW BREWERY LLC,BLY HOLLOW BREWERY,243 BLY HOLLOW RD,,CHERRY PLAIN,NY,12040,863469,3/29/2013,3/1/2015,2/29/2016,42.63327117,-73.38064307,"(42.63327117, -73.38064307)",Brewer,Upstate,Albany
